"Duration","0.001_0.005_0.0033","","0.001_0.005_0.0066","","0.001_0.005_0.0099","","0.001_0.01_0.0033","","0.001_0.01_0.0066","","0.001_0.01_0.0099","","0.001_0.015_0.0033","","0.001_0.015_0.0066","","0.001_0.015_0.0099","","0.001_0.02_0.0033","","0.001_0.02_0.0066","","0.001_0.02_0.0099","","0.002_0.005_0.0033","","0.002_0.005_0.0066","","0.002_0.005_0.0099","","0.002_0.01_0.0033","","0.002_0.01_0.0066","","0.002_0.01_0.0099","","0.002_0.015_0.0033","","0.002_0.015_0.0066","","0.002_0.015_0.0099","","0.002_0.02_0.0033","","0.002_0.02_0.0066","","0.002_0.02_0.0099","","0.003_0.005_0.0033","","0.003_0.005_0.0066","","0.003_0.005_0.0099","","0.003_0.01_0.0033","","0.003_0.01_0.0066","","0.003_0.01_0.0099","","0.003_0.015_0.0033","","0.003_0.015_0.0066","","0.003_0.015_0.0099","","0.003_0.02_0.0033","","0.003_0.02_0.0066","","0.003_0.02_0.0099","","0.004_0.005_0.0033","","0.004_0.005_0.0066","","0.004_0.005_0.0099","","0.004_0.01_0.0033","","0.004_0.01_0.0066","","0.004_0.01_0.0099","","0.004_0.015_0.0033","","0.004_0.015_0.0066","","0.004_0.015_0.0099","","0.004_0.02_0.0033","","0.004_0.02_0.0066","","0.004_0.02_0.0099",""
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.5,0.4,0.5,0.24,0.435889894354,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.04,0.2,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,1.04,0.2,1.04,0.2,1.16,0.374165738677,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.32,0.47609522857,2.0,0.0,2.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.08,0.276887462097,0.04,0.2,1.0,0.0,1.0,0.0,0.88,0.331662479036,0.96,0.2,0.96,0.2,0.96,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.84,0.374165738677,1.6,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.68,0.47609522857,1.64,0.489897948557,1.68,0.47609522857,2.0,0.0,2.0,0.0,2.0,0.0,2.04,0.2,2.0,0.0,2.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.88,0.331662479036,0.72,0.458257569496,0.72,0.458257569496,0.68,0.47609522857,0.6,0.5,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.72,0.458257569496,1.6,0.5,1.12,0.331662479036,1.0,0.0,1.0,0.0,1.0,0.0,1.12,0.331662479036,1.04,0.2,1.04,0.2,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44,0.506622805119,0.6,0.5,0.24,0.435889894354,0.28,0.458257569496,0.2,0.408248290464,0.04,0.2,1.0,0.0,1.0,0.0,0.96,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.32,0.47609522857,1.04,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.88,0.331662479036,1.76,0.435889894354,2.0,0.0,2.0,0.0,2.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.509901951359,0.16,0.374165738677,0.12,0.331662479036,0.12,0.331662479036,0.0,0.0,0.0,0.0,0.88,0.331662479036,0.88,0.331662479036,0.76,0.435889894354,1.0,0.0,1.0,0.0,1.0,0.0,1.08,0.276887462097,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.84,0.374165738677,1.44,0.506622805119,1.44,0.506622805119,2.0,0.0,2.0,0.0,2.0,0.0
16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.276887462097,0.04,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.509901951359,0.56,0.506622805119,0.28,0.458257569496,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.2,0.408248290464,1.08,0.276887462097,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.331662479036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.435889894354,0.16,0.374165738677,0.16,0.374165738677,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.276887462097,0.04,0.2,0.0,0.0,1.0,0.0,0.96,0.2,0.88,0.331662479036,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.96,0.2,1.8,0.408248290464
19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.2,0.0,0.0,0.0,0.0,0.84,0.374165738677,0.92,0.276887462097,0.8,0.408248290464,1.0,0.0,1.0,0.0,1.0,0.0,0.96,0.2,0.96,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.88,0.331662479036,1.52,0.509901951359
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.92,0.276887462097,0.44,0.506622805119,0.44,0.506622805119,1.0,0.0,1.0,0.0,1.0,0.0,0.8,0.408248290464,1.0,0.0,0.96,0.2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.92,0.276887462097,1.4,0.5,1.12,0.331662479036
