"Series","Width","Best Duration","Peak Spikes"
1,0.699999999999,2.0,0.466666666667
2,3.83333333333,2.0,1.0
3,4.875,2.0,1.4
4,5.22222222222,2.0,1.73333333333
5,5.0,2.0,2.0
6,5.0,2.0,2.0
7,6.0,2.0,2.0
8,6.0,2.0,2.0
9,5.0,2.0,2.0
10,5.0,2.0,2.0
11,6.0,2.0,2.0
12,6.0,2.0,2.0
13,6.0,2.0,2.0
14,6.0,2.0,2.0
15,6.0,2.0,2.0
16,6.0,2.0,2.0
17,7.0,2.0,2.0
18,7.0,2.0,2.0
19,5.83333333332,2.0,2.06666666667
20,7.0,2.0,2.0
