"time","AMPA","NMDA","GABAa"
39.8,0.000747171095296,5.94279005384e-05,0.000133425044595
39.85,0.00081998917545,6.37476251574e-05,0.000132229803633
39.9,0.000887907835587,6.84352325474e-05,0.00013104513851
39.95,0.000951196917768,7.34953090769e-05,0.000129871222887
40.0,0.00101017569064,7.89420171326e-05,0.000128707694346
40.05,0.00106510177696,8.48123089037e-05,0.000127554462404
40.1,0.00111623655198,9.10851395152e-05,0.000126411540814
40.15,0.00116382438163,9.7806401302e-05,0.000125278897252
40.2,0.00120807811152,0.000104975040816,0.000124156278197
40.25,0.00124922824787,0.000112589207214,0.000123043675395
40.3,0.00128744704792,0.000120681375631,0.000121941309152
40.35,0.00132294775516,0.000129222693362,0.000120848941163
40.4,0.00135587819767,0.000138242097676,0.000119766238762
40.45,0.00138642293948,0.000147736202115,0.000118693360666
40.5,0.00141472019657,0.000157682743538,0.000117629975647
40.55,0.00144092138782,0.000168112586434,0.000116576001012
40.6,0.00146515801866,0.000178986071216,0.000115531449328
40.65,0.00148755369504,0.000190316749139,0.000114496291055
40.7,0.00150823278792,0.000202100955226,0.000113470294491
40.75,0.00152729561525,0.000214295891603,0.000112453452093
40.8,0.00152139630824,0.000221289844293,0.000111445965206
40.85,0.00150701506935,0.00022809089353,0.000110447616036
40.9,0.00149276939482,0.000234665626084,0.000109458100547
40.95,0.00147865801071,0.000241018378717,0.000108477563797
41.0,0.001464679655,0.000247154675868,0.000107505703067
41.05,0.00145083307747,0.000253081868572,0.000106542442779
41.1,0.00143711703966,0.000258809674902,0.000105587794421
41.15,0.00142353031465,0.000264354159979,0.000104641730993
41.2,0.00141007168705,0.000269730495683,0.000103704040737
41.25,0.00139673995285,0.000274956028763,0.00010277471676
41.3,0.00138353391931,0.000280051886401,0.000101853943075
41.35,0.00137045240485,0.000285043447247,0.000100941520634
41.4,0.00135749423899,0.000289956781314,0.000100037171571
41.45,0.00134465826219,0.000294821520672,9.91410284566e-05
41.5,0.00133194332578,0.000299671914956,9.82528146272e-05
41.55,0.00131934829186,0.000304547849207,9.73724610108e-05
41.6,0.00130687203317,0.000309498300446,9.64999781052e-05
41.65,0.00129451343303,0.000314575023624,9.56353412354e-05
41.7,0.00128227138523,0.000319844899461,9.47783568684e-05
41.75,0.0012701447939,0.000325391193797,9.3929018704e-05
41.8,0.00125813257345,0.00033132023391,9.3087494919e-05
41.85,0.00124623987659,0.000337771912335,9.2253603596e-05
41.9,0.00123445928592,0.000344935823483,9.14270907849e-05
41.95,0.00122278974794,0.00035308501471,9.06080776463e-05
42.0,0.001211230219,0.000362615657662,8.97963113285e-05
42.05,0.00119977966524,0.000374148319976,8.89917287043e-05
42.1,0.00118843706249,0.000388698600232,8.81943393683e-05
42.15,0.00117720139614,0.00040806002374,8.74041207691e-05
42.2,0.00116607166112,0.000435665062586,8.66208960308e-05
42.25,0.00115504686175,0.000478761988486,8.58446593955e-05
42.3,0.00114412601169,0.000553866572851,8.50755645652e-05
42.35,0.00113330813383,0.000692520811914,8.431344528e-05
42.4,0.00112259226021,0.000869190615505,8.35580694469e-05
42.45,0.00111197743195,0.000940802159551,8.28095477985e-05
42.5,0.00110146269915,0.000953759052839,8.20676492454e-05
42.55,0.0010910471208,0.000956007925582,8.13323160941e-05
42.6,0.00108072976472,0.000955912884449,8.06035571131e-05
42.65,0.00107050970746,0.000954927623717,7.98813516921e-05
42.7,0.00106038603421,0.000953259977954,7.91655381787e-05
42.75,0.00105035783874,0.000950782061417,7.84561113106e-05
42.8,0.00104042422332,0.000947191211941,7.77532115607e-05
42.85,0.00103058944903,0.000942009952758,7.70566869791e-05
42.9,0.00102084738197,0.000934534927327,7.63663254486e-05
42.95,0.00101119715095,0.000923772924381,7.56822281712e-05
43.0,0.00100163789291,0.000908399938039,7.50041839473e-05
43.05,0.000992168752893,0.000886792516712,7.43321400487e-05
43.1,0.000982788883942,0.000857234929643,7.36661044895e-05
43.15,0.000973497447032,0.000818353639442,7.3006058433e-05
43.2,0.000964293610999,0.000769864747574,7.23518541403e-05
43.25,0.000955176552461,0.000713361310298,7.17034868018e-05
43.3,0.00094614545575,0.000651584257921,7.10610848003e-05
43.35,0.000937199512841,0.000586042765343,7.04245092638e-05
43.4,0.000928337923274,0.000516611102555,6.97935663321e-05
43.45,0.000919559894091,0.000443597858644,6.91683484965e-05
43.5,0.00091086463976,0.000370084547973,6.85486627353e-05
43.55,0.000902251382111,0.000302314974499,6.79344608585e-05
43.6,0.000893719350263,0.000246367941796,6.73257501904e-05
43.65,0.000885267780559,0.000204233663996,6.67225135156e-05
43.7,0.000876895916495,0.000174080303645,6.6124615811e-05
43.75,0.000868603008657,0.000152874869301,6.55320526809e-05
43.8,0.000860388314653,0.000137988059363,6.49449414582e-05
43.85,0.000852255358221,0.000127533066843,6.43631552237e-05
43.9,0.000844199066885,0.000120223208079,6.37865168022e-05
43.95,0.000836218720194,0.00011519503386,6.32151107246e-05
44.0,0.000828313604446,0.000111860416398,6.26487605824e-05
44.05,0.000820483012618,0.000109804388937,6.20874223332e-05
44.1,0.000812726244314,0.000108737282287,6.15311026708e-05
44.15,0.000805042605694,0.000108443759509,6.09797858616e-05
44.2,0.000797431409419,0.000108766818053,6.04333485037e-05
44.25,0.000789891974586,0.000109583991548,5.98917865799e-05
44.3,0.000782423626672,0.000110803487742,5.93552073243e-05
44.35,0.000775025697471,0.000112350143126,5.88234947414e-05
44.4,0.000767697525037,0.000114168685338,5.82964869053e-05
44.45,0.000760438453626,0.000116206962074,5.77742610716e-05
44.5,0.000753247833636,0.00011842885637,5.72566560148e-05
44.55,0.00074612502155,0.000120798406389,5.67436314834e-05
44.6,0.000739069379882,0.000123290493169,5.62351935949e-05
44.65,0.000732080277119,0.000125881488156,5.57313279701e-05
44.7,0.000725157087663,0.00012854969106,5.52319218279e-05
44.75,0.000718299191779,0.000131277809493,5.4736971497e-05
44.8,0.000711505975541,0.000134050738616,5.42465749819e-05
44.85,0.000704780352933,0.000136857155494,5.37606262708e-05
44.9,0.000698118129227,0.000139685022718,5.32789773745e-05
44.95,0.000691518708639,0.000142522968416,5.28016988994e-05
45.0,0.000684981500966,0.000145361845454,5.23286434963e-05
45.05,0.00067850592153,0.000148195976053,5.18597743782e-05
45.1,0.000672091391131,0.000151018412512,5.13950971362e-05
45.15,0.000665737335992,0.000153820510418,5.09345986285e-05
45.2,0.000659443187712,0.000156600531358,5.0478175781e-05
45.25,0.000653208383212,0.00015935197184,5.00258252384e-05
45.3,0.000647032364689,0.000162070614585,4.95776365701e-05
45.35,0.000640914579565,0.000164754798949,4.91335128886e-05
45.4,0.000634854480435,0.000167400007429,4.86933189419e-05
45.45,0.000628851525028,0.000170003887439,4.82571192594e-05
45.5,0.000622905176148,0.000172566073924,4.78247791742e-05
45.55,0.000617014901634,0.000175081161382,4.73962650654e-05
45.6,0.000611180174311,0.000177550623934,4.69715820428e-05
45.65,0.000605400471943,0.000179973412218,4.65507180958e-05
45.7,0.000599675277187,0.000182346351886,4.61335790219e-05
45.75,0.000594004077546,0.000184669056114,4.57201617543e-05
45.8,0.000588386365329,0.000186941267473,4.53105481535e-05
45.85,0.000582824550282,0.000189163626538,4.49046496708e-05
45.9,0.000577315163536,0.000191335974311,4.45023426954e-05
45.95,0.000571857712402,0.000193457137621,4.41036862025e-05
46.0,0.000566451708806,0.00019552723333,4.3708557116e-05
46.05,0.000561096669244,0.000197546446112,4.33169247086e-05
46.1,0.00055579211474,0.000199515017095,4.29287936504e-05
46.15,0.000550537570806,0.000201433235474,4.25441529645e-05
46.2,0.000545332567395,0.000203302746444,4.21629165563e-05
46.25,0.000540176638866,0.000205123499102,4.17850816229e-05
46.3,0.000535069323937,0.000206895483071,4.14107229792e-05
46.35,0.000530010165648,0.000208619113723,4.10397596978e-05
46.4,0.000524998711321,0.000210295000327,4.0672078807e-05
46.45,0.000520034512516,0.000211924000475,4.03077342059e-05
46.5,0.000515117124996,0.000213510035344,3.99466134116e-05
46.55,0.000510246108686,0.000215050035385,3.95886883412e-05
46.6,0.000505421027632,0.000216544503043,3.92339632632e-05
46.65,0.000500641449967,0.00021799758595,3.88824281452e-05
46.7,0.000495906947869,0.000219408397514,3.85340043028e-05
46.75,0.000491217097526,0.00022077561175,3.81886891743e-05
46.8,0.000486571479096,0.000222105394565,3.78465511353e-05
46.85,0.000481972085342,0.000223393833211,3.75075162239e-05
46.9,0.00047741604765,0.000224643938556,3.71714811915e-05
46.95,0.000472902958587,0.000225857373585,3.68384952984e-05
47.0,0.000468432414535,0.000227032153918,3.65084557428e-05
