"Duration","1",""
1,39.7450000001,0.138507077531
2,39.9000000001,0.123544153624
3,39.8250000001,0.065894652766
4,39.8550000001,0.106251934967
5,40.0375000001,0.0685853291048
6,40.3300000001,0.0676679197879
7,40.8350000001,0.0961084913276
8,41.5675000001,0.117288443367
9,42.5825000001,0.200837064099
10,43.9575000001,0.246167999973
11,45.7625000001,0.597775481528
12,47.6000000001,1.13473855092
13,49.426923077,1.20478479832
14,51.6900000001,1.5864268026
15,-,0
16,-,0
17,-,0
18,-,0
19,-,0
20,-,0
21,-,0
22,-,0
23,-,0
24,-,0
25,-,0
