"time","AMPA","NMDA","GABAa"
41.5,-0.0307522650775,-0.00262670898561,0.00678874525615
41.55,-0.0305086699965,-0.00261697681797,0.00675966848042
41.6,-0.0302675145,-0.00260709795443,0.00672045943898
41.65,-0.0300282635554,-0.00259726035794,0.00667384277406
41.7,-0.0297905354996,-0.00258749667795,0.00662190108065
41.75,-0.0295540683146,-0.0025778259787,0.0065662120777
41.8,-0.0293186839272,-0.00256838253759,0.0065079794364
41.85,-0.0290844154924,-0.0025590749365,0.0064481197761
41.9,-0.0288510487813,-0.00254999777728,0.00638732417444
41.95,-0.0286185513707,-0.00254113638344,0.00632610657534
42.0,-0.0283869179939,-0.00253243921788,0.00626965992599
42.05,-0.0281563706489,-0.0025239689307,0.0062621268508
42.1,-0.0279290331712,-0.00251520924742,0.00624216274441
42.15,-0.0277042806888,-0.00250626690051,0.00621239568624
42.2,-0.0274816303945,-0.00249734182611,0.00616927952836
42.25,-0.0272604761404,-0.00248843702849,0.00612630535657
42.3,-0.0270408071059,-0.00247960891161,0.00612684794631
42.35,-0.0268244063968,-0.00247049839192,0.00611825228117
42.4,-0.0266108040943,-0.00246111599148,0.00613032704396
42.45,-0.0264007635347,-0.00245140875147,0.00618079695373
42.5,-0.0261957149023,-0.002440947255,0.00620382867326
42.55,-0.0259943918059,-0.00243005799348,0.006206112206
42.6,-0.0257958544356,-0.00241889523747,0.00619281536271
42.65,-0.0255994162746,-0.00240762962561,0.00616789924828
42.7,-0.0254045765666,-0.00239634614396,0.00613441767637
42.75,-0.0252109801106,-0.00238514011998,0.00609925111285
42.8,-0.0250185483222,-0.00237401089276,0.00610395814794
42.85,-0.0248288944652,-0.00236263655934,0.00609358126662
42.9,-0.0246412535397,-0.00235113742551,0.00607194310598
42.95,-0.024455163962,-0.00233963907666,0.00604196938144
43.0,-0.0242702918944,-0.00232818004308,0.00600556654185
43.05,-0.0240863923697,-0.00231686268481,0.00595874795291
43.1,-0.0239030874554,-0.00230571821586,0.00590918666888
43.15,-0.023720294085,-0.00229482992029,0.00585783325422
43.2,-0.0235379643632,-0.00228414777764,0.00580541884906
43.25,-0.0233560813488,-0.00227373463744,0.00575216091179
43.3,-0.0231746341846,-0.00226355004812,0.00569291023908
43.35,-0.0229934392201,-0.00225366598556,0.00563396924244
43.4,-0.0228125339696,-0.00224408308656,0.00556947396895
43.45,-0.0226317594695,-0.00223479893857,0.00550439188188
43.5,-0.0224511290503,-0.00222589296276,0.00548683923712
43.55,-0.022272243445,-0.00221686918693,0.00545854352327
43.6,-0.0220947175782,-0.00220792596723,0.00542237225089
43.65,-0.0219182769819,-0.00219904928304,0.00538051329952
43.7,-0.0217427334038,-0.00219030849475,0.00533796748693
43.75,-0.0215680651017,-0.00218174439282,0.00535328239339
43.8,-0.0213960938893,-0.00217280832887,0.00534508917259
43.85,-0.0212261180328,-0.00216381803397,0.00532378860245
43.9,-0.0210575812864,-0.0021547725094,0.00529282604043
43.95,-0.0208901660815,-0.00214581485409,0.00525483347945
44.0,-0.0207236484391,-0.00213698707399,0.00521180443028
44.05,-0.0205578771473,-0.00212829273666,0.00516526629084
44.1,-0.0203927527108,-0.00211984696472,0.00511637116395
44.15,-0.0202282156625,-0.00211156157022,0.00506598531303
44.2,-0.0200642348027,-0.00210352617808,0.00501476648643
44.25,-0.0199007985402,-0.0020957129445,0.00496319918047
44.3,-0.0197379114655,-0.00208808258616,0.00491165553475
44.35,-0.0195755882233,-0.0020807382307,0.00486039031595
44.4,-0.0194138488654,-0.00207358093022,0.00480960226413
44.45,-0.019252719865,-0.00206660110009,0.0047591239122
44.5,-0.0190922213052,-0.0020598960227,0.00470411976699
44.55,-0.0189322390512,-0.00205340075444,0.00465016484811
44.6,-0.0187728175063,-0.00204710775171,0.00459727019399
44.65,-0.0186139987871,-0.00204107421639,0.00454543215619
44.7,-0.0184558221508,-0.00203524815475,0.00449423578448
44.75,-0.018298315207,-0.00202960251611,0.00443896400087
44.8,-0.0181413806786,-0.00202417136839,0.00438498906968
44.85,-0.0179851548045,-0.00201901546053,0.00433561219911
44.9,-0.017829674886,-0.00201403050308,0.0043337645729
44.95,-0.017676155005,-0.00200884975072,0.0043210249915
45.0,-0.017524276922,-0.00200355872342,0.00430015444936
45.05,-0.017373806568,-0.00199828998384,0.00427327080225
45.1,-0.0172245726805,-0.00199303296224,0.00424199658828
45.15,-0.0170764528879,-0.00198781460476,0.00420756897906
45.2,-0.0169293602725,-0.00198266051997,0.0041709366864
45.25,-0.0167832347824,-0.00197764982431,0.00413282005652
45.3,-0.0166380356689,-0.00197274339893,0.00409376700345
45.35,-0.0164937378717,-0.00196793889511,0.00405765254523
45.4,-0.0163504076704,-0.00196321523872,0.00406081877299
45.45,-0.0162089488803,-0.00195831238758,0.00405374753783
45.5,-0.0160690840062,-0.00195331132925,0.00403898985818
45.55,-0.0159306072931,-0.00194823854871,0.00401850503725
45.6,-0.0157933665868,-0.00194313913275,0.00399599563984
45.65,-0.0156572993278,-0.00193805872882,0.00404027121191
45.7,-0.0155238629539,-0.00193252076135,0.00406432708446
45.75,-0.0153925403567,-0.00192663618442,0.00407301994324
45.8,-0.0152629443988,-0.00192052262512,0.00407010208361
45.85,-0.0151348625463,-0.00191435010681,0.00405814391052
45.9,-0.0150079968667,-0.00190811878765,0.00403494800312
45.95,-0.0148820921689,-0.00190190311645,0.00400721847997
46.0,-0.0147570447553,-0.00189579954449,0.00397623703207
46.05,-0.0146327816377,-0.00188979863249,0.00394297886839
46.1,-0.0145092540606,-0.00188389008208,0.00390818140108
46.15,-0.0143864302246,-0.00187811679787,0.00387240528126
46.2,-0.0142642905928,-0.00187250771513,0.00383607660549
